Artista,Álbum,Formato,Observações
Kvaen,The Great Below,CD,
Laconist,Anticosmic Trance,CD,Digipak
Lápide,Morte Ao Mundo,CD,
Lik,Misanthropic Breed,CD,
Loits,Must Album,CD,
Loudness,Thunder In The East,CD,
Luciferion,The Apostate,CD,
Luvart,Necromantical Invocation,CD,
Luvart,Rites Of The Ancient Cults,CD,
Luxúria De Lillith,Mundo De Cadáveres,CD,
Malkuth,19 Years Of Glory And Victory,CD,
Malkuth,Extreme Bizarre Seduction,CD,
Maniac Butcher,Černá krev,CD,
Maniac Butcher,Invaze,CD,
Manowar,Battle Hymns,CD,
Manowar,Fighting The World,CD,
Manowar,Gods Of War,CD,
Manowar,Hail To England,CD,
Manowar,Hell On Wheels Live,CD,2 CDs
Manowar,Into The Glory Ride,CD,
Manowar,Kings Of Metal,CD,
Manowar,Sign Of The Hammer,CD,
Manowar,The Triumph Of Steel,CD,
Manowar,Warriors Of The World,CD,
Marduk,Dark Endless,CD,
Marduk,Infernal Eternal,CD,
Marduk,Panzer Division Marduk,CD,Digipak
Massacre,Back From Beyond,CD,
Mayhem,Dawn Of The Black Hearts,CD,Bootleg
Megadeth,Cryptic Writings,CD,
Megadeth,Killing Is My Business... And Business Is Good!,CD,
Megadeth,Rust In Peace,CD,
Megadeth,United Abominations,CD,
Mercy Killing,Euthanasia,CD,
Mercyful Fate,Mercyful Fate,CD,"Digipak, Réplica de LP"
Metallica,... And Justice For All,CD,
Metallica,Black Album,CD,
Metallica,Death Magnetic,CD,
Metallica,Garage Inc.,CD,2 CDs
Metallica,Kill 'Em All,CD,
Metallica,Live,CD,Bootleg
Metallica,Load,CD,
Metallica,Master Of Puppets,CD,
Metallica,Reload,CD,
Metallica,Ride The Lightning,CD,
Metallica,S&M,CD,2 CDs
Metraton,Armies Of Darkness Unite!,CD,Digipak
Miasthenia,Antípodas,CD,Digipak
Miasthenia,Legados Do Inframundo,CD,
Miasthenia,Trágicos Encantos Primordiais,CD,
Miasthenia,XVI/Batalha Ritual,CD,"Digipak, 2 CDs"
Michael Jackson,Dangerous,CD,
Misanthropic Triumph/Ravendark's Monarchal Canticle,Breath Of Deadly Silence,CD,
Morbid Angel,Altars Of Madness,CD,
Morbid Saint,Spectrum Of Death,CD,"Digipak, 2 CDs"
Morcrof,Apeiron (Trinitas Primitiae Opus),CD,
Morcrof,Qvod Dea et Qvod Eqves Avratvs,CD,Digipak
Mötley Crue,Dr. Feelgood,CD,Primeira prensagem
